Pos	Validated
1070	True
1175	True
1187	True
1337	True
1343	True
1442	True
1475	True
1499	True
1655	True
1736	True
2648	True
2654	True
2828	True
2855	True
2864	True
3038	True
3050	True
4085	True
4094	True
4106	True
4238	True
4733	True
4751	True
5591	True
5717	True
5828	True
6056	True
6890	True
7037	True
7094	True
7148	True
7151	True
7157	True
7175	True
7451	True
7493	True
7505	True
7538	True
7568	True
8007	True
8105	True
9200	True
9225	True
9242	True
9272	True
9296	True
9758	True
9887	True
9899	True
10217	True
10281	True
10286	True
10314	True
10349	True
10361	True
10376	True
